Source,Destination,Distance (km),Fare
Chhatrapati Shivaji Maharaj Terminus,Masjid,1.0,5
Chhatrapati Shivaji Maharaj Terminus,Sandhurst Road,2.2,5
Chhatrapati Shivaji Maharaj Terminus,Byculla,3.7,5
Chhatrapati Shivaji Maharaj Terminus,Chinchpokli,5.2,10
Chhatrapati Shivaji Maharaj Terminus,Currey Road,6.2,10
Chhatrapati Shivaji Maharaj Terminus,Parel,7.7,10
Chhatrapati Shivaji Maharaj Terminus,Dadar,9.2,10
Chhatrapati Shivaji Maharaj Terminus,Matunga,10.7,15
Chhatrapati Shivaji Maharaj Terminus,Sion,11.7,15
Chhatrapati Shivaji Maharaj Terminus,Kurla,13.7,15
Chhatrapati Shivaji Maharaj Terminus,Vidyavihar,15.5,15
Chhatrapati Shivaji Maharaj Terminus,Ghatkopar,17.5,15
Chhatrapati Shivaji Maharaj Terminus,Vikhroli,20.5,20
Chhatrapati Shivaji Maharaj Terminus,Kanjur Marg,22.5,20
Chhatrapati Shivaji Maharaj Terminus,Bhandup,25.0,20
Chhatrapati Shivaji Maharaj Terminus,Nahur,27.0,20
Chhatrapati Shivaji Maharaj Terminus,Mulund,29.0,20
Chhatrapati Shivaji Maharaj Terminus,Thane,34.0,25
Chhatrapati Shivaji Maharaj Terminus,Kalwa,40.0,25
Chhatrapati Shivaji Maharaj Terminus,Mumbra,42.0,25
Chhatrapati Shivaji Maharaj Terminus,Diva Junction,48.0,25
Chhatrapati Shivaji Maharaj Terminus,Kopar,52.0,25
Chhatrapati Shivaji Maharaj Terminus,Dombivli,54.5,25
Chhatrapati Shivaji Maharaj Terminus,Thakurli,57.0,25
Chhatrapati Shivaji Maharaj Terminus,Kalyan Junction,61.0,25
Chhatrapati Shivaji Maharaj Terminus,Dockyard Road,3.7,5
Chhatrapati Shivaji Maharaj Terminus,Reay Road,5.2,10
Chhatrapati Shivaji Maharaj Terminus,Cotton Green,6.4,10
Chhatrapati Shivaji Maharaj Terminus,Sewri,7.5,10
Chhatrapati Shivaji Maharaj Terminus,Wadala Road,8.7,10
Chhatrapati Shivaji Maharaj Terminus,Guru Tegh Bahadur Nagar,10.2,15
Chhatrapati Shivaji Maharaj Terminus,Chunabhatti,11.7,15
Chhatrapati Shivaji Maharaj Terminus,Tilak Nagar,14.7,15
Chhatrapati Shivaji Maharaj Terminus,Chembur,16.2,15
Chhatrapati Shivaji Maharaj Terminus,Mankhurd,18.7,15
Chhatrapati Shivaji Maharaj Terminus,Vashi,20.7,20
Chhatrapati Shivaji Maharaj Terminus,Sanpada,22.7,20
Chhatrapati Shivaji Maharaj Terminus,Panvel,26.2,20
Masjid,Sandhurst Road,1.2,5
Masjid,Byculla,2.7,5
Masjid,Chinchpokli,4.2,5
Masjid,Currey Road,5.2,10
Masjid,Parel,6.7,10
Masjid,Dadar,8.2,10
Masjid,Matunga,9.7,10
Masjid,Sion,10.7,15
Masjid,Kurla,12.7,15
Masjid,Vidyavihar,14.5,15
Masjid,Ghatkopar,16.5,15
Masjid,Vikhroli,19.5,15
Masjid,Kanjur Marg,21.5,20
Masjid,Bhandup,24.0,20
Masjid,Nahur,26.0,20
Masjid,Mulund,28.0,20
Masjid,Thane,33.0,25
Masjid,Kalwa,39.0,25
Masjid,Mumbra,41.0,25
Masjid,Diva Junction,47.0,25
Masjid,Kopar,51.0,25
Masjid,Dombivli,53.5,25
Masjid,Thakurli,56.0,25
Masjid,Kalyan Junction,60.0,25
Masjid,Dockyard Road,2.7,5
Masjid,Reay Road,4.2,5
Masjid,Cotton Green,5.4,10
Masjid,Sewri,6.5,10
Masjid,Wadala Road,7.7,10
Masjid,Guru Tegh Bahadur Nagar,9.2,10
Masjid,Chunabhatti,10.7,15
Masjid,Tilak Nagar,13.7,15
Masjid,Chembur,15.2,15
Masjid,Mankhurd,17.7,15
Masjid,Vashi,19.7,15
Masjid,Sanpada,21.7,20
Masjid,Panvel,25.2,20
Sandhurst Road,Byculla,1.5,5
Sandhurst Road,Chinchpokli,3.0,5
Sandhurst Road,Currey Road,4.0,5
Sandhurst Road,Parel,5.5,10
Sandhurst Road,Dadar,7.0,10
Sandhurst Road,Matunga,8.5,10
Sandhurst Road,Sion,9.5,10
Sandhurst Road,Kurla,11.5,15
Sandhurst Road,Vidyavihar,13.3,15
Sandhurst Road,Ghatkopar,15.3,15
Sandhurst Road,Vikhroli,18.3,15
Sandhurst Road,Kanjur Marg,20.3,20
Sandhurst Road,Bhandup,22.8,20
Sandhurst Road,Nahur,24.8,20
Sandhurst Road,Mulund,26.8,20
Sandhurst Road,Thane,31.8,25
Sandhurst Road,Kalwa,37.8,25
Sandhurst Road,Mumbra,39.8,25
Sandhurst Road,Diva Junction,45.8,25
Sandhurst Road,Kopar,49.8,25
Sandhurst Road,Dombivli,52.3,25
Sandhurst Road,Thakurli,54.8,25
Sandhurst Road,Kalyan Junction,58.8,25
Sandhurst Road,Dockyard Road,1.5,5
Sandhurst Road,Reay Road,3.0,5
Sandhurst Road,Cotton Green,4.2,5
Sandhurst Road,Sewri,5.3,10
Sandhurst Road,Wadala Road,6.5,10
Sandhurst Road,Guru Tegh Bahadur Nagar,8.0,10
Sandhurst Road,Chunabhatti,9.5,10
Sandhurst Road,Tilak Nagar,12.5,15
Sandhurst Road,Chembur,14.0,15
Sandhurst Road,Mankhurd,16.5,15
Sandhurst Road,Vashi,18.5,15
Sandhurst Road,Sanpada,20.5,20
Sandhurst Road,Panvel,24.0,20
Byculla,Chinchpokli,1.5,5
Byculla,Currey Road,2.5,5
Byculla,Parel,4.0,5
Byculla,Dadar,5.5,10
Byculla,Matunga,7.0,10
Byculla,Sion,8.0,10
Byculla,Kurla,11.0,15
Byculla,Vidyavihar,12.8,15
Byculla,Ghatkopar,14.8,15
Byculla,Vikhroli,17.8,15
Byculla,Kanjur Marg,19.8,15
Byculla,Bhandup,22.3,20
Byculla,Nahur,24.3,20
Byculla,Mulund,26.3,20
Byculla,Thane,31.3,25
Byculla,Kalwa,37.3,25
Byculla,Mumbra,39.3,25
Byculla,Diva Junction,45.3,25
Byculla,Kopar,49.3,25
Byculla,Dombivli,51.8,25
Byculla,Thakurli,54.3,25
Byculla,Kalyan Junction,58.3,25
Byculla,Dockyard Road,3.0,5
Byculla,Reay Road,4.5,5
Byculla,Cotton Green,5.7,10
Byculla,Sewri,6.8,10
Byculla,Wadala Road,8.0,10
Byculla,Guru Tegh Bahadur Nagar,9.5,10
Byculla,Chunabhatti,11.0,15
Byculla,Tilak Nagar,12.0,15
Byculla,Chembur,13.5,15
Byculla,Mankhurd,16.0,15
Byculla,Vashi,18.0,15
Byculla,Sanpada,20.0,15
Byculla,Panvel,23.5,20
Chinchpokli,Currey Road,1.0,5
Chinchpokli,Parel,2.5,5
Chinchpokli,Dadar,4.0,5
Chinchpokli,Matunga,5.5,10
Chinchpokli,Sion,6.5,10
Chinchpokli,Kurla,9.5,10
Chinchpokli,Vidyavihar,11.3,15
Chinchpokli,Ghatkopar,13.3,15
Chinchpokli,Vikhroli,16.3,15
Chinchpokli,Kanjur Marg,18.3,15
Chinchpokli,Bhandup,20.8,20
Chinchpokli,Nahur,22.8,20
Chinchpokli,Mulund,24.8,20
Chinchpokli,Thane,29.8,20
Chinchpokli,Kalwa,35.8,25
Chinchpokli,Mumbra,37.8,25
Chinchpokli,Diva Junction,43.8,25
Chinchpokli,Kopar,47.8,25
Chinchpokli,Dombivli,50.3,25
Chinchpokli,Thakurli,52.8,25
Chinchpokli,Kalyan Junction,56.8,25
Chinchpokli,Dockyard Road,4.5,5
Chinchpokli,Reay Road,6.0,10
Chinchpokli,Cotton Green,7.2,10
Chinchpokli,Sewri,8.3,10
Chinchpokli,Wadala Road,9.5,10
Chinchpokli,Guru Tegh Bahadur Nagar,11.0,15
Chinchpokli,Chunabhatti,11.5,15
Chinchpokli,Tilak Nagar,10.5,15
Chinchpokli,Chembur,12.0,15
Chinchpokli,Mankhurd,14.5,15
Chinchpokli,Vashi,16.5,15
Chinchpokli,Sanpada,18.5,15
Chinchpokli,Panvel,22.0,20
Currey Road,Parel,1.5,5
Currey Road,Dadar,3.0,5
Currey Road,Matunga,4.5,5
Currey Road,Sion,5.5,10
Currey Road,Kurla,8.5,10
Currey Road,Vidyavihar,10.3,15
Currey Road,Ghatkopar,12.3,15
Currey Road,Vikhroli,15.3,15
Currey Road,Kanjur Marg,17.3,15
Currey Road,Bhandup,19.8,15
Currey Road,Nahur,21.8,20
Currey Road,Mulund,23.8,20
Currey Road,Thane,28.8,20
Currey Road,Kalwa,34.8,25
Currey Road,Mumbra,36.8,25
Currey Road,Diva Junction,42.8,25
Currey Road,Kopar,46.8,25
Currey Road,Dombivli,49.3,25
Currey Road,Thakurli,51.8,25
Currey Road,Kalyan Junction,55.8,25
Currey Road,Dockyard Road,5.5,10
Currey Road,Reay Road,7.0,10
Currey Road,Cotton Green,8.2,10
Currey Road,Sewri,9.3,10
Currey Road,Wadala Road,10.5,15
Currey Road,Guru Tegh Bahadur Nagar,12.0,15
Currey Road,Chunabhatti,10.5,15
Currey Road,Tilak Nagar,9.5,10
Currey Road,Chembur,11.0,15
Currey Road,Mankhurd,13.5,15
Currey Road,Vashi,15.5,15
Currey Road,Sanpada,17.5,15
Currey Road,Panvel,21.0,20
Parel,Dadar,1.5,5
Parel,Matunga,3.0,5
Parel,Sion,4.0,5
Parel,Kurla,7.0,10
Parel,Vidyavihar,8.8,10
Parel,Ghatkopar,10.8,15
Parel,Vikhroli,13.8,15
Parel,Kanjur Marg,15.8,15
Parel,Bhandup,18.3,15
Parel,Nahur,20.3,20
Parel,Mulund,22.3,20
Parel,Thane,27.3,20
Parel,Kalwa,33.3,25
Parel,Mumbra,35.3,25
Parel,Diva Junction,41.3,25
Parel,Kopar,45.3,25
Parel,Dombivli,47.8,25
Parel,Thakurli,50.3,25
Parel,Kalyan Junction,54.3,25
Parel,Dockyard Road,7.0,10
Parel,Reay Road,8.5,10
Parel,Cotton Green,9.7,10
Parel,Sewri,10.8,15
Parel,Wadala Road,12.0,15
Parel,Guru Tegh Bahadur Nagar,10.5,15
Parel,Chunabhatti,9.0,10
Parel,Tilak Nagar,8.0,10
Parel,Chembur,9.5,10
Parel,Mankhurd,12.0,15
Parel,Vashi,14.0,15
Parel,Sanpada,16.0,15
Parel,Panvel,19.5,15
Dadar,Matunga,1.5,5
Dadar,Sion,2.5,5
Dadar,Kurla,5.5,10
Dadar,Vidyavihar,7.3,10
Dadar,Ghatkopar,9.3,10
Dadar,Vikhroli,12.3,15
Dadar,Kanjur Marg,14.3,15
Dadar,Bhandup,16.8,15
Dadar,Nahur,18.8,15
Dadar,Mulund,20.8,20
Dadar,Thane,25.8,20
Dadar,Kalwa,31.8,25
Dadar,Mumbra,33.8,25
Dadar,Diva Junction,39.8,25
Dadar,Kopar,43.8,25
Dadar,Dombivli,46.3,25
Dadar,Thakurli,48.8,25
Dadar,Kalyan Junction,52.8,25
Dadar,Dockyard Road,8.5,10
Dadar,Reay Road,10.0,10
Dadar,Cotton Green,11.2,15
Dadar,Sewri,11.7,15
Dadar,Wadala Road,10.5,15
Dadar,Guru Tegh Bahadur Nagar,9.0,10
Dadar,Chunabhatti,7.5,10
Dadar,Tilak Nagar,6.5,10
Dadar,Chembur,8.0,10
Dadar,Mankhurd,10.5,15
Dadar,Vashi,12.5,15
Dadar,Sanpada,14.5,15
Dadar,Panvel,18.0,15
Matunga,Sion,1.0,5
Matunga,Kurla,4.0,5
Matunga,Vidyavihar,5.8,10
Matunga,Ghatkopar,7.8,10
Matunga,Vikhroli,10.8,15
Matunga,Kanjur Marg,12.8,15
Matunga,Bhandup,15.3,15
Matunga,Nahur,17.3,15
Matunga,Mulund,19.3,15
Matunga,Thane,24.3,20
Matunga,Kalwa,30.3,25
Matunga,Mumbra,32.3,25
Matunga,Diva Junction,38.3,25
Matunga,Kopar,42.3,25
Matunga,Dombivli,44.8,25
Matunga,Thakurli,47.3,25
Matunga,Kalyan Junction,51.3,25
Matunga,Dockyard Road,10.0,10
Matunga,Reay Road,11.5,15
Matunga,Cotton Green,11.3,15
Matunga,Sewri,10.2,15
Matunga,Wadala Road,9.0,10
Matunga,Guru Tegh Bahadur Nagar,7.5,10
Matunga,Chunabhatti,6.0,10
Matunga,Tilak Nagar,5.0,5
Matunga,Chembur,6.5,10
Matunga,Mankhurd,9.0,10
Matunga,Vashi,11.0,15
Matunga,Sanpada,13.0,15
Matunga,Panvel,16.5,15
Sion,Kurla,3.0,5
Sion,Vidyavihar,4.8,5
Sion,Ghatkopar,6.8,10
Sion,Vikhroli,9.8,10
Sion,Kanjur Marg,11.8,15
Sion,Bhandup,14.3,15
Sion,Nahur,16.3,15
Sion,Mulund,18.3,15
Sion,Thane,23.3,20
Sion,Kalwa,29.3,20
Sion,Mumbra,31.3,25
Sion,Diva Junction,37.3,25
Sion,Kopar,41.3,25
Sion,Dombivli,43.8,25
Sion,Thakurli,46.3,25
Sion,Kalyan Junction,50.3,25
Sion,Dockyard Road,11.0,15
Sion,Reay Road,11.5,15
Sion,Cotton Green,10.3,15
Sion,Sewri,9.2,10
Sion,Wadala Road,8.0,10
Sion,Guru Tegh Bahadur Nagar,6.5,10
Sion,Chunabhatti,5.0,5
Sion,Tilak Nagar,4.0,5
Sion,Chembur,5.5,10
Sion,Mankhurd,8.0,10
Sion,Vashi,10.0,10
Sion,Sanpada,12.0,15
Sion,Panvel,15.5,15
Kurla,Vidyavihar,1.8,5
Kurla,Ghatkopar,3.8,5
Kurla,Vikhroli,6.8,10
Kurla,Kanjur Marg,8.8,10
Kurla,Bhandup,11.3,15
Kurla,Nahur,13.3,15
Kurla,Mulund,15.3,15
Kurla,Thane,20.3,20
Kurla,Kalwa,26.3,20
Kurla,Mumbra,28.3,20
Kurla,Diva Junction,34.3,25
Kurla,Kopar,38.3,25
Kurla,Dombivli,40.8,25
Kurla,Thakurli,43.3,25
Kurla,Kalyan Junction,47.3,25
Kurla,Dockyard Road,10.0,10
Kurla,Reay Road,8.5,10
Kurla,Cotton Green,7.3,10
Kurla,Sewri,6.2,10
Kurla,Wadala Road,5.0,5
Kurla,Guru Tegh Bahadur Nagar,3.5,5
Kurla,Chunabhatti,2.0,5
Kurla,Tilak Nagar,1.0,5
Kurla,Chembur,2.5,5
Kurla,Mankhurd,5.0,5
Kurla,Vashi,7.0,10
Kurla,Sanpada,9.0,10
Kurla,Panvel,12.5,15
Vidyavihar,Ghatkopar,2.0,5
Vidyavihar,Vikhroli,5.0,5
Vidyavihar,Kanjur Marg,7.0,10
Vidyavihar,Bhandup,9.5,10
Vidyavihar,Nahur,11.5,15
Vidyavihar,Mulund,13.5,15
Vidyavihar,Thane,18.5,15
Vidyavihar,Kalwa,24.5,20
Vidyavihar,Mumbra,26.5,20
Vidyavihar,Diva Junction,32.5,25
Vidyavihar,Kopar,36.5,25
Vidyavihar,Dombivli,39.0,25
Vidyavihar,Thakurli,41.5,25
Vidyavihar,Kalyan Junction,45.5,25
Vidyavihar,Dockyard Road,11.8,15
Vidyavihar,Reay Road,10.3,15
Vidyavihar,Cotton Green,9.1,10
Vidyavihar,Sewri,8.0,10
Vidyavihar,Wadala Road,6.8,10
Vidyavihar,Guru Tegh Bahadur Nagar,5.3,10
Vidyavihar,Chunabhatti,3.8,5
Vidyavihar,Tilak Nagar,2.8,5
Vidyavihar,Chembur,4.3,5
Vidyavihar,Mankhurd,6.8,10
Vidyavihar,Vashi,8.8,10
Vidyavihar,Sanpada,10.8,15
Vidyavihar,Panvel,14.3,15
Ghatkopar,Vikhroli,3.0,5
Ghatkopar,Kanjur Marg,5.0,5
Ghatkopar,Bhandup,7.5,10
Ghatkopar,Nahur,9.5,10
Ghatkopar,Mulund,11.5,15
Ghatkopar,Thane,16.5,15
Ghatkopar,Kalwa,22.5,20
Ghatkopar,Mumbra,24.5,20
Ghatkopar,Diva Junction,30.5,25
Ghatkopar,Kopar,34.5,25
Ghatkopar,Dombivli,37.0,25
Ghatkopar,Thakurli,39.5,25
Ghatkopar,Kalyan Junction,43.5,25
Ghatkopar,Dockyard Road,13.8,15
Ghatkopar,Reay Road,12.3,15
Ghatkopar,Cotton Green,11.1,15
Ghatkopar,Sewri,10.0,10
Ghatkopar,Wadala Road,8.8,10
Ghatkopar,Guru Tegh Bahadur Nagar,7.3,10
Ghatkopar,Chunabhatti,5.8,10
Ghatkopar,Tilak Nagar,4.8,5
Ghatkopar,Chembur,6.3,10
Ghatkopar,Mankhurd,8.8,10
Ghatkopar,Vashi,10.8,15
Ghatkopar,Sanpada,12.8,15
Ghatkopar,Panvel,16.3,15
Vikhroli,Kanjur Marg,2.0,5
Vikhroli,Bhandup,4.5,5
Vikhroli,Nahur,6.5,10
Vikhroli,Mulund,8.5,10
Vikhroli,Thane,13.5,15
Vikhroli,Kalwa,19.5,15
Vikhroli,Mumbra,21.5,20
Vikhroli,Diva Junction,27.5,20
Vikhroli,Kopar,31.5,25
Vikhroli,Dombivli,34.0,25
Vikhroli,Thakurli,36.5,25
Vikhroli,Kalyan Junction,40.5,25
Vikhroli,Dockyard Road,16.8,15
Vikhroli,Reay Road,15.3,15
Vikhroli,Cotton Green,14.1,15
Vikhroli,Sewri,13.0,15
Vikhroli,Wadala Road,11.8,15
Vikhroli,Guru Tegh Bahadur Nagar,10.3,15
Vikhroli,Chunabhatti,8.8,10
Vikhroli,Tilak Nagar,7.8,10
Vikhroli,Chembur,9.3,10
Vikhroli,Mankhurd,11.8,15
Vikhroli,Vashi,13.8,15
Vikhroli,Sanpada,15.8,15
Vikhroli,Panvel,19.3,15
Kanjur Marg,Bhandup,2.5,5
Kanjur Marg,Nahur,4.5,5
Kanjur Marg,Mulund,6.5,10
Kanjur Marg,Thane,11.5,15
Kanjur Marg,Kalwa,17.5,15
Kanjur Marg,Mumbra,19.5,15
Kanjur Marg,Diva Junction,25.5,20
Kanjur Marg,Kopar,29.5,20
Kanjur Marg,Dombivli,32.0,25
Kanjur Marg,Thakurli,34.5,25
Kanjur Marg,Kalyan Junction,38.5,25
Kanjur Marg,Dockyard Road,18.8,15
Kanjur Marg,Reay Road,17.3,15
Kanjur Marg,Cotton Green,16.1,15
Kanjur Marg,Sewri,15.0,15
Kanjur Marg,Wadala Road,13.8,15
Kanjur Marg,Guru Tegh Bahadur Nagar,12.3,15
Kanjur Marg,Chunabhatti,10.8,15
Kanjur Marg,Tilak Nagar,9.8,10
Kanjur Marg,Chembur,11.3,15
Kanjur Marg,Mankhurd,13.8,15
Kanjur Marg,Vashi,15.8,15
Kanjur Marg,Sanpada,17.8,15
Kanjur Marg,Panvel,21.3,20
Bhandup,Nahur,2.0,5
Bhandup,Mulund,4.0,5
Bhandup,Thane,9.0,10
Bhandup,Kalwa,15.0,15
Bhandup,Mumbra,17.0,15
Bhandup,Diva Junction,23.0,20
Bhandup,Kopar,27.0,20
Bhandup,Dombivli,29.5,20
Bhandup,Thakurli,32.0,25
Bhandup,Kalyan Junction,36.0,25
Bhandup,Dockyard Road,21.3,20
Bhandup,Reay Road,19.8,15
Bhandup,Cotton Green,18.6,15
Bhandup,Sewri,17.5,15
Bhandup,Wadala Road,16.3,15
Bhandup,Guru Tegh Bahadur Nagar,14.8,15
Bhandup,Chunabhatti,13.3,15
Bhandup,Tilak Nagar,12.3,15
Bhandup,Chembur,13.8,15
Bhandup,Mankhurd,16.3,15
Bhandup,Vashi,18.3,15
Bhandup,Sanpada,20.3,20
Bhandup,Panvel,23.8,20
Nahur,Mulund,2.0,5
Nahur,Thane,7.0,10
Nahur,Kalwa,13.0,15
Nahur,Mumbra,15.0,15
Nahur,Diva Junction,21.0,20
Nahur,Kopar,25.0,20
Nahur,Dombivli,27.5,20
Nahur,Thakurli,30.0,20
Nahur,Kalyan Junction,34.0,25
Nahur,Dockyard Road,23.3,20
Nahur,Reay Road,21.8,20
Nahur,Cotton Green,20.6,20
Nahur,Sewri,19.5,15
Nahur,Wadala Road,18.3,15
Nahur,Guru Tegh Bahadur Nagar,16.8,15
Nahur,Chunabhatti,15.3,15
Nahur,Tilak Nagar,14.3,15
Nahur,Chembur,15.8,15
Nahur,Mankhurd,18.3,15
Nahur,Vashi,20.3,20
Nahur,Sanpada,22.3,20
Nahur,Panvel,25.8,20
Mulund,Thane,5.0,5
Mulund,Kalwa,11.0,15
Mulund,Mumbra,13.0,15
Mulund,Diva Junction,19.0,15
Mulund,Kopar,23.0,20
Mulund,Dombivli,25.5,20
Mulund,Thakurli,28.0,20
Mulund,Kalyan Junction,32.0,25
Mulund,Dockyard Road,25.3,20
Mulund,Reay Road,23.8,20
Mulund,Cotton Green,22.6,20
Mulund,Sewri,21.5,20
Mulund,Wadala Road,20.3,20
Mulund,Guru Tegh Bahadur Nagar,18.8,15
Mulund,Chunabhatti,17.3,15
Mulund,Tilak Nagar,16.3,15
Mulund,Chembur,17.8,15
Mulund,Mankhurd,20.3,20
Mulund,Vashi,22.3,20
Mulund,Sanpada,24.3,20
Mulund,Panvel,27.8,20
Thane,Kalwa,6.0,10
Thane,Mumbra,8.0,10
Thane,Diva Junction,14.0,15
Thane,Kopar,18.0,15
Thane,Dombivli,20.5,20
Thane,Thakurli,23.0,20
Thane,Kalyan Junction,27.0,20
Thane,Dockyard Road,30.3,25
Thane,Reay Road,28.8,20
Thane,Cotton Green,27.6,20
Thane,Sewri,26.5,20
Thane,Wadala Road,25.3,20
Thane,Guru Tegh Bahadur Nagar,23.8,20
Thane,Chunabhatti,22.3,20
Thane,Tilak Nagar,21.3,20
Thane,Chembur,22.8,20
Thane,Mankhurd,25.3,20
Thane,Vashi,27.3,20
Thane,Sanpada,29.3,20
Thane,Panvel,32.8,25
Kalwa,Mumbra,2.0,5
Kalwa,Diva Junction,8.0,10
Kalwa,Kopar,12.0,15
Kalwa,Dombivli,14.5,15
Kalwa,Thakurli,17.0,15
Kalwa,Kalyan Junction,21.0,20
Kalwa,Dockyard Road,36.3,25
Kalwa,Reay Road,34.8,25
Kalwa,Cotton Green,33.6,25
Kalwa,Sewri,32.5,25
Kalwa,Wadala Road,31.3,25
Kalwa,Guru Tegh Bahadur Nagar,29.8,20
Kalwa,Chunabhatti,28.3,20
Kalwa,Tilak Nagar,27.3,20
Kalwa,Chembur,28.8,20
Kalwa,Mankhurd,31.3,25
Kalwa,Vashi,33.3,25
Kalwa,Sanpada,35.3,25
Kalwa,Panvel,38.8,25
Mumbra,Diva Junction,6.0,10
Mumbra,Kopar,10.0,10
Mumbra,Dombivli,12.5,15
Mumbra,Thakurli,15.0,15
Mumbra,Kalyan Junction,19.0,15
Mumbra,Dockyard Road,38.3,25
Mumbra,Reay Road,36.8,25
Mumbra,Cotton Green,35.6,25
