Source,Destination,Distance (km),Fare
Mumbra,Sewri,34.5,25
Mumbra,Wadala Road,33.3,25
Mumbra,Guru Tegh Bahadur Nagar,31.8,25
Mumbra,Chunabhatti,30.3,25
Mumbra,Tilak Nagar,29.3,20
Mumbra,Chembur,30.8,25
Mumbra,Mankhurd,33.3,25
Mumbra,Vashi,35.3,25
Mumbra,Sanpada,37.3,25
Mumbra,Panvel,40.8,25
Diva Junction,Kopar,4.0,5
Diva Junction,Dombivli,6.5,10
Diva Junction,Thakurli,9.0,10
Diva Junction,Kalyan Junction,13.0,15
Diva Junction,Dockyard Road,44.3,25
Diva Junction,Reay Road,42.8,25
Diva Junction,Cotton Green,41.6,25
Diva Junction,Sewri,40.5,25
Diva Junction,Wadala Road,39.3,25
Diva Junction,Guru Tegh Bahadur Nagar,37.8,25
Diva Junction,Chunabhatti,36.3,25
Diva Junction,Tilak Nagar,35.3,25
Diva Junction,Chembur,36.8,25
Diva Junction,Mankhurd,39.3,25
Diva Junction,Vashi,41.3,25
Diva Junction,Sanpada,43.3,25
Diva Junction,Panvel,46.8,25
Kopar,Dombivli,2.5,5
Kopar,Thakurli,5.0,5
Kopar,Kalyan Junction,9.0,10
Kopar,Dockyard Road,48.3,25
Kopar,Reay Road,46.8,25
Kopar,Cotton Green,45.6,25
Kopar,Sewri,44.5,25
Kopar,Wadala Road,43.3,25
Kopar,Guru Tegh Bahadur Nagar,41.8,25
Kopar,Chunabhatti,40.3,25
Kopar,Tilak Nagar,39.3,25
Kopar,Chembur,40.8,25
Kopar,Mankhurd,43.3,25
Kopar,Vashi,45.3,25
Kopar,Sanpada,47.3,25
Kopar,Panvel,50.8,25
Dombivli,Thakurli,2.5,5
Dombivli,Kalyan Junction,6.5,10
Dombivli,Dockyard Road,50.8,25
Dombivli,Reay Road,49.3,25
Dombivli,Cotton Green,48.1,25
Dombivli,Sewri,47.0,25
Dombivli,Wadala Road,45.8,25
Dombivli,Guru Tegh Bahadur Nagar,44.3,25
Dombivli,Chunabhatti,42.8,25
Dombivli,Tilak Nagar,41.8,25
Dombivli,Chembur,43.3,25
Dombivli,Mankhurd,45.8,25
Dombivli,Vashi,47.8,25
Dombivli,Sanpada,49.8,25
Dombivli,Panvel,53.3,25
Thakurli,Kalyan Junction,4.0,5
Thakurli,Dockyard Road,53.3,25
Thakurli,Reay Road,51.8,25
Thakurli,Cotton Green,50.6,25
Thakurli,Sewri,49.5,25
Thakurli,Wadala Road,48.3,25
Thakurli,Guru Tegh Bahadur Nagar,46.8,25
Thakurli,Chunabhatti,45.3,25
Thakurli,Tilak Nagar,44.3,25
Thakurli,Chembur,45.8,25
Thakurli,Mankhurd,48.3,25
Thakurli,Vashi,50.3,25
Thakurli,Sanpada,52.3,25
Thakurli,Panvel,55.8,25
Kalyan Junction,Dockyard Road,57.3,25
Kalyan Junction,Reay Road,55.8,25
Kalyan Junction,Cotton Green,54.6,25
Kalyan Junction,Sewri,53.5,25
Kalyan Junction,Wadala Road,52.3,25
Kalyan Junction,Guru Tegh Bahadur Nagar,50.8,25
Kalyan Junction,Chunabhatti,49.3,25
Kalyan Junction,Tilak Nagar,48.3,25
Kalyan Junction,Chembur,49.8,25
Kalyan Junction,Mankhurd,52.3,25
Kalyan Junction,Vashi,54.3,25
Kalyan Junction,Sanpada,56.3,25
Kalyan Junction,Panvel,59.8,25
Dockyard Road,Reay Road,1.5,5
Dockyard Road,Cotton Green,2.7,5
Dockyard Road,Sewri,3.8,5
Dockyard Road,Wadala Road,5.0,5
Dockyard Road,Guru Tegh Bahadur Nagar,6.5,10
Dockyard Road,Chunabhatti,8.0,10
Dockyard Road,Tilak Nagar,11.0,15
Dockyard Road,Chembur,12.5,15
Dockyard Road,Mankhurd,15.0,15
Dockyard Road,Vashi,17.0,15
Dockyard Road,Sanpada,19.0,15
Dockyard Road,Panvel,22.5,20
Reay Road,Cotton Green,1.2,5
Reay Road,Sewri,2.3,5
Reay Road,Wadala Road,3.5,5
Reay Road,Guru Tegh Bahadur Nagar,5.0,5
Reay Road,Chunabhatti,6.5,10
Reay Road,Tilak Nagar,9.5,10
Reay Road,Chembur,11.0,15
Reay Road,Mankhurd,13.5,15
Reay Road,Vashi,15.5,15
Reay Road,Sanpada,17.5,15
Reay Road,Panvel,21.0,20
Cotton Green,Sewri,1.1,5
Cotton Green,Wadala Road,2.3,5
Cotton Green,Guru Tegh Bahadur Nagar,3.8,5
Cotton Green,Chunabhatti,5.3,10
Cotton Green,Tilak Nagar,8.3,10
Cotton Green,Chembur,9.8,10
Cotton Green,Mankhurd,12.3,15
Cotton Green,Vashi,14.3,15
Cotton Green,Sanpada,16.3,15
Cotton Green,Panvel,19.8,15
Sewri,Wadala Road,1.2,5
Sewri,Guru Tegh Bahadur Nagar,2.7,5
Sewri,Chunabhatti,4.2,5
Sewri,Tilak Nagar,7.2,10
Sewri,Chembur,8.7,10
Sewri,Mankhurd,11.2,15
Sewri,Vashi,13.2,15
Sewri,Sanpada,15.2,15
Sewri,Panvel,18.7,15
Wadala Road,Guru Tegh Bahadur Nagar,1.5,5
Wadala Road,Chunabhatti,3.0,5
Wadala Road,Tilak Nagar,6.0,10
Wadala Road,Chembur,7.5,10
Wadala Road,Mankhurd,10.0,10
Wadala Road,Vashi,12.0,15
Wadala Road,Sanpada,14.0,15
Wadala Road,Panvel,17.5,15
Guru Tegh Bahadur Nagar,Chunabhatti,1.5,5
Guru Tegh Bahadur Nagar,Tilak Nagar,4.5,5
Guru Tegh Bahadur Nagar,Chembur,6.0,10
Guru Tegh Bahadur Nagar,Mankhurd,8.5,10
Guru Tegh Bahadur Nagar,Vashi,10.5,15
Guru Tegh Bahadur Nagar,Sanpada,12.5,15
Guru Tegh Bahadur Nagar,Panvel,16.0,15
Chunabhatti,Tilak Nagar,3.0,5
Chunabhatti,Chembur,4.5,5
Chunabhatti,Mankhurd,7.0,10
Chunabhatti,Vashi,9.0,10
Chunabhatti,Sanpada,11.0,15
Chunabhatti,Panvel,14.5,15
Tilak Nagar,Chembur,1.5,5
Tilak Nagar,Mankhurd,4.0,5
Tilak Nagar,Vashi,6.0,10
Tilak Nagar,Sanpada,8.0,10
Tilak Nagar,Panvel,11.5,15
Chembur,Mankhurd,2.5,5
Chembur,Vashi,4.5,5
Chembur,Sanpada,6.5,10
Chembur,Panvel,10.0,10
Mankhurd,Vashi,2.0,5
Mankhurd,Sanpada,4.0,5
Mankhurd,Panvel,7.5,10
Vashi,Sanpada,2.0,5
Vashi,Panvel,5.5,10
Sanpada,Panvel,3.5,5
Churchgate,Marine Lines,2.0,5
Churchgate,Charni Road,4.0,5
Churchgate,Grant Road,6.0,10
Churchgate,Mumbai Central,8.0,10
Churchgate,Mahalaxmi,10.0,10
Churchgate,Lower Parel,12.0,15
Churchgate,Prabhadevi,14.0,15
Churchgate,Dadar_W,16.0,15
Churchgate,Matunga Road,18.0,15
Churchgate,Mahim Junction,20.0,15
Churchgate,Bandra,22.0,20
Churchgate,Khar Road,24.0,20
Churchgate,Santacruz,26.0,20
Churchgate,Vile Parle,28.0,20
Churchgate,Andheri,30.0,20
Churchgate,Jogeshwari,32.0,25
Churchgate,Ram Mandir,34.0,25
Churchgate,Goregaon,36.0,25
Churchgate,Malad,38.0,25
Churchgate,Kandivli,40.0,25
Churchgate,Borivali,42.0,25
Churchgate,Dahisar,44.0,25
Churchgate,Mira Road,46.0,25
Churchgate,Bhayandar,48.0,25
Churchgate,Naigaon,50.0,25
Churchgate,Vasai Road,52.0,25
Churchgate,Nallasopara,54.0,25
Churchgate,Virar,56.0,25
Marine Lines,Charni Road,2.0,5
Marine Lines,Grant Road,4.0,5
Marine Lines,Mumbai Central,6.0,10
Marine Lines,Mahalaxmi,8.0,10
Marine Lines,Lower Parel,10.0,10
Marine Lines,Prabhadevi,12.0,15
Marine Lines,Dadar_W,14.0,15
Marine Lines,Matunga Road,16.0,15
Marine Lines,Mahim Junction,18.0,15
Marine Lines,Bandra,20.0,15
Marine Lines,Khar Road,22.0,20
Marine Lines,Santacruz,24.0,20
Marine Lines,Vile Parle,26.0,20
Marine Lines,Andheri,28.0,20
Marine Lines,Jogeshwari,30.0,20
Marine Lines,Ram Mandir,32.0,25
Marine Lines,Goregaon,34.0,25
Marine Lines,Malad,36.0,25
Marine Lines,Kandivli,38.0,25
Marine Lines,Borivali,40.0,25
Marine Lines,Dahisar,42.0,25
Marine Lines,Mira Road,44.0,25
Marine Lines,Bhayandar,46.0,25
Marine Lines,Naigaon,48.0,25
Marine Lines,Vasai Road,50.0,25
Marine Lines,Nallasopara,52.0,25
Marine Lines,Virar,54.0,25
Charni Road,Grant Road,2.0,5
Charni Road,Mumbai Central,4.0,5
Charni Road,Mahalaxmi,6.0,10
Charni Road,Lower Parel,8.0,10
Charni Road,Prabhadevi,10.0,10
Charni Road,Dadar_W,12.0,15
Charni Road,Matunga Road,14.0,15
Charni Road,Mahim Junction,16.0,15
Charni Road,Bandra,18.0,15
Charni Road,Khar Road,20.0,15
Charni Road,Santacruz,22.0,20
Charni Road,Vile Parle,24.0,20
Charni Road,Andheri,26.0,20
Charni Road,Jogeshwari,28.0,20
Charni Road,Ram Mandir,30.0,20
Charni Road,Goregaon,32.0,25
Charni Road,Malad,34.0,25
Charni Road,Kandivli,36.0,25
Charni Road,Borivali,38.0,25
Charni Road,Dahisar,40.0,25
Charni Road,Mira Road,42.0,25
Charni Road,Bhayandar,44.0,25
Charni Road,Naigaon,46.0,25
Charni Road,Vasai Road,48.0,25
Charni Road,Nallasopara,50.0,25
Charni Road,Virar,52.0,25
Grant Road,Mumbai Central,2.0,5
Grant Road,Mahalaxmi,4.0,5
Grant Road,Lower Parel,6.0,10
Grant Road,Prabhadevi,8.0,10
Grant Road,Dadar_W,10.0,10
Grant Road,Matunga Road,12.0,15
Grant Road,Mahim Junction,14.0,15
Grant Road,Bandra,16.0,15
Grant Road,Khar Road,18.0,15
Grant Road,Santacruz,20.0,15
Grant Road,Vile Parle,22.0,20
Grant Road,Andheri,24.0,20
Grant Road,Jogeshwari,26.0,20
Grant Road,Ram Mandir,28.0,20
Grant Road,Goregaon,30.0,20
Grant Road,Malad,32.0,25
Grant Road,Kandivli,34.0,25
Grant Road,Borivali,36.0,25
Grant Road,Dahisar,38.0,25
Grant Road,Mira Road,40.0,25
Grant Road,Bhayandar,42.0,25
Grant Road,Naigaon,44.0,25
Grant Road,Vasai Road,46.0,25
Grant Road,Nallasopara,48.0,25
Grant Road,Virar,50.0,25
Mumbai Central,Mahalaxmi,2.0,5
Mumbai Central,Lower Parel,4.0,5
Mumbai Central,Prabhadevi,6.0,10
Mumbai Central,Dadar_W,8.0,10
Mumbai Central,Matunga Road,10.0,10
Mumbai Central,Mahim Junction,12.0,15
Mumbai Central,Bandra,14.0,15
Mumbai Central,Khar Road,16.0,15
Mumbai Central,Santacruz,18.0,15
Mumbai Central,Vile Parle,20.0,15
Mumbai Central,Andheri,22.0,20
Mumbai Central,Jogeshwari,24.0,20
Mumbai Central,Ram Mandir,26.0,20
Mumbai Central,Goregaon,28.0,20
Mumbai Central,Malad,30.0,20
Mumbai Central,Kandivli,32.0,25
Mumbai Central,Borivali,34.0,25
Mumbai Central,Dahisar,36.0,25
Mumbai Central,Mira Road,38.0,25
Mumbai Central,Bhayandar,40.0,25
Mumbai Central,Naigaon,42.0,25
Mumbai Central,Vasai Road,44.0,25
Mumbai Central,Nallasopara,46.0,25
Mumbai Central,Virar,48.0,25
Mahalaxmi,Lower Parel,2.0,5
Mahalaxmi,Prabhadevi,4.0,5
Mahalaxmi,Dadar_W,6.0,10
Mahalaxmi,Matunga Road,8.0,10
Mahalaxmi,Mahim Junction,10.0,10
Mahalaxmi,Bandra,12.0,15
Mahalaxmi,Khar Road,14.0,15
Mahalaxmi,Santacruz,16.0,15
Mahalaxmi,Vile Parle,18.0,15
Mahalaxmi,Andheri,20.0,15
Mahalaxmi,Jogeshwari,22.0,20
Mahalaxmi,Ram Mandir,24.0,20
Mahalaxmi,Goregaon,26.0,20
Mahalaxmi,Malad,28.0,20
Mahalaxmi,Kandivli,30.0,20
Mahalaxmi,Borivali,32.0,25
Mahalaxmi,Dahisar,34.0,25
Mahalaxmi,Mira Road,36.0,25
Mahalaxmi,Bhayandar,38.0,25
Mahalaxmi,Naigaon,40.0,25
Mahalaxmi,Vasai Road,42.0,25
Mahalaxmi,Nallasopara,44.0,25
Mahalaxmi,Virar,46.0,25
Lower Parel,Prabhadevi,2.0,5
Lower Parel,Dadar_W,4.0,5
Lower Parel,Matunga Road,6.0,10
Lower Parel,Mahim Junction,8.0,10
Lower Parel,Bandra,10.0,10
Lower Parel,Khar Road,12.0,15
Lower Parel,Santacruz,14.0,15
Lower Parel,Vile Parle,16.0,15
Lower Parel,Andheri,18.0,15
Lower Parel,Jogeshwari,20.0,15
Lower Parel,Ram Mandir,22.0,20
Lower Parel,Goregaon,24.0,20
Lower Parel,Malad,26.0,20
Lower Parel,Kandivli,28.0,20
Lower Parel,Borivali,30.0,20
Lower Parel,Dahisar,32.0,25
Lower Parel,Mira Road,34.0,25
Lower Parel,Bhayandar,36.0,25
Lower Parel,Naigaon,38.0,25
Lower Parel,Vasai Road,40.0,25
Lower Parel,Nallasopara,42.0,25
Lower Parel,Virar,44.0,25
Prabhadevi,Dadar_W,2.0,5
Prabhadevi,Matunga Road,4.0,5
Prabhadevi,Mahim Junction,6.0,10
Prabhadevi,Bandra,8.0,10
Prabhadevi,Khar Road,10.0,10
Prabhadevi,Santacruz,12.0,15
Prabhadevi,Vile Parle,14.0,15
Prabhadevi,Andheri,16.0,15
Prabhadevi,Jogeshwari,18.0,15
Prabhadevi,Ram Mandir,20.0,15
Prabhadevi,Goregaon,22.0,20
Prabhadevi,Malad,24.0,20
Prabhadevi,Kandivli,26.0,20
Prabhadevi,Borivali,28.0,20
Prabhadevi,Dahisar,30.0,20
Prabhadevi,Mira Road,32.0,25
Prabhadevi,Bhayandar,34.0,25
Prabhadevi,Naigaon,36.0,25
Prabhadevi,Vasai Road,38.0,25
Prabhadevi,Nallasopara,40.0,25
Prabhadevi,Virar,42.0,25
Dadar_W,Matunga Road,2.0,5
Dadar_W,Mahim Junction,4.0,5
Dadar_W,Bandra,6.0,10
Dadar_W,Khar Road,8.0,10
Dadar_W,Santacruz,10.0,10
Dadar_W,Vile Parle,12.0,15
Dadar_W,Andheri,14.0,15
Dadar_W,Jogeshwari,16.0,15
Dadar_W,Ram Mandir,18.0,15
Dadar_W,Goregaon,20.0,15
Dadar_W,Malad,22.0,20
Dadar_W,Kandivli,24.0,20
Dadar_W,Borivali,26.0,20
Dadar_W,Dahisar,28.0,20
Dadar_W,Mira Road,30.0,20
Dadar_W,Bhayandar,32.0,25
Dadar_W,Naigaon,34.0,25
Dadar_W,Vasai Road,36.0,25
Dadar_W,Nallasopara,38.0,25
Dadar_W,Virar,40.0,25
Matunga Road,Mahim Junction,2.0,5
Matunga Road,Bandra,4.0,5
Matunga Road,Khar Road,6.0,10
Matunga Road,Santacruz,8.0,10
Matunga Road,Vile Parle,10.0,10
Matunga Road,Andheri,12.0,15
Matunga Road,Jogeshwari,14.0,15
Matunga Road,Ram Mandir,16.0,15
Matunga Road,Goregaon,18.0,15
Matunga Road,Malad,20.0,15
Matunga Road,Kandivli,22.0,20
Matunga Road,Borivali,24.0,20
Matunga Road,Dahisar,26.0,20
Matunga Road,Mira Road,28.0,20
Matunga Road,Bhayandar,30.0,20
Matunga Road,Naigaon,32.0,25
Matunga Road,Vasai Road,34.0,25
Matunga Road,Nallasopara,36.0,25
Matunga Road,Virar,38.0,25
Mahim Junction,Bandra,2.0,5
Mahim Junction,Khar Road,4.0,5
Mahim Junction,Santacruz,6.0,10
Mahim Junction,Vile Parle,8.0,10
Mahim Junction,Andheri,10.0,10
Mahim Junction,Jogeshwari,12.0,15
Mahim Junction,Ram Mandir,14.0,15
Mahim Junction,Goregaon,16.0,15
Mahim Junction,Malad,18.0,15
Mahim Junction,Kandivli,20.0,15
Mahim Junction,Borivali,22.0,20
Mahim Junction,Dahisar,24.0,20
Mahim Junction,Mira Road,26.0,20
Mahim Junction,Bhayandar,28.0,20
Mahim Junction,Naigaon,30.0,20
Mahim Junction,Vasai Road,32.0,25
Mahim Junction,Nallasopara,34.0,25
Mahim Junction,Virar,36.0,25
Bandra,Khar Road,2.0,5
Bandra,Santacruz,4.0,5
Bandra,Vile Parle,6.0,10
Bandra,Andheri,8.0,10
Bandra,Jogeshwari,10.0,10
Bandra,Ram Mandir,12.0,15
Bandra,Goregaon,14.0,15
Bandra,Malad,16.0,15
Bandra,Kandivli,18.0,15
Bandra,Borivali,20.0,15
Bandra,Dahisar,22.0,20
Bandra,Mira Road,24.0,20
Bandra,Bhayandar,26.0,20
Bandra,Naigaon,28.0,20
Bandra,Vasai Road,30.0,20
Bandra,Nallasopara,32.0,25
Bandra,Virar,34.0,25
Khar Road,Santacruz,2.0,5
Khar Road,Vile Parle,4.0,5
Khar Road,Andheri,6.0,10
Khar Road,Jogeshwari,8.0,10
Khar Road,Ram Mandir,10.0,10
Khar Road,Goregaon,12.0,15
Khar Road,Malad,14.0,15
Khar Road,Kandivli,16.0,15
Khar Road,Borivali,18.0,15
Khar Road,Dahisar,20.0,15
Khar Road,Mira Road,22.0,20
Khar Road,Bhayandar,24.0,20
Khar Road,Naigaon,26.0,20
Khar Road,Vasai Road,28.0,20
Khar Road,Nallasopara,30.0,20
Khar Road,Virar,32.0,25
Santacruz,Vile Parle,2.0,5
Santacruz,Andheri,4.0,5
Santacruz,Jogeshwari,6.0,10
Santacruz,Ram Mandir,8.0,10
Santacruz,Goregaon,10.0,10
Santacruz,Malad,12.0,15
Santacruz,Kandivli,14.0,15
Santacruz,Borivali,16.0,15
Santacruz,Dahisar,18.0,15
Santacruz,Mira Road,20.0,15
Santacruz,Bhayandar,22.0,20
Santacruz,Naigaon,24.0,20
Santacruz,Vasai Road,26.0,20
Santacruz,Nallasopara,28.0,20
Santacruz,Virar,30.0,20
Vile Parle,Andheri,2.0,5
Vile Parle,Jogeshwari,4.0,5
Vile Parle,Ram Mandir,6.0,10
Vile Parle,Goregaon,8.0,10
Vile Parle,Malad,10.0,10
Vile Parle,Kandivli,12.0,15
Vile Parle,Borivali,14.0,15
Vile Parle,Dahisar,16.0,15
Vile Parle,Mira Road,18.0,15
Vile Parle,Bhayandar,20.0,15
Vile Parle,Naigaon,22.0,20
Vile Parle,Vasai Road,24.0,20
Vile Parle,Nallasopara,26.0,20
Vile Parle,Virar,28.0,20
Andheri,Jogeshwari,2.0,5
Andheri,Ram Mandir,4.0,5
Andheri,Goregaon,6.0,10
Andheri,Malad,8.0,10
Andheri,Kandivli,10.0,10
Andheri,Borivali,12.0,15
Andheri,Dahisar,14.0,15
Andheri,Mira Road,16.0,15
Andheri,Bhayandar,18.0,15
Andheri,Naigaon,20.0,15
Andheri,Vasai Road,22.0,20
Andheri,Nallasopara,24.0,20
Andheri,Virar,26.0,20
Jogeshwari,Ram Mandir,2.0,5
Jogeshwari,Goregaon,4.0,5
Jogeshwari,Malad,6.0,10
Jogeshwari,Kandivli,8.0,10
Jogeshwari,Borivali,10.0,10
Jogeshwari,Dahisar,12.0,15
Jogeshwari,Mira Road,14.0,15
Jogeshwari,Bhayandar,16.0,15
Jogeshwari,Naigaon,18.0,15
Jogeshwari,Vasai Road,20.0,15
Jogeshwari,Nallasopara,22.0,20
Jogeshwari,Virar,24.0,20
Ram Mandir,Goregaon,2.0,5
Ram Mandir,Malad,4.0,5
Ram Mandir,Kandivli,6.0,10
Ram Mandir,Borivali,8.0,10
Ram Mandir,Dahisar,10.0,10
Ram Mandir,Mira Road,12.0,15
Ram Mandir,Bhayandar,14.0,15
Ram Mandir,Naigaon,16.0,15
Ram Mandir,Vasai Road,18.0,15
Ram Mandir,Nallasopara,20.0,15
Ram Mandir,Virar,22.0,20
Goregaon,Malad,2.0,5
Goregaon,Kandivli,4.0,5
Goregaon,Borivali,6.0,10
Goregaon,Dahisar,8.0,10
Goregaon,Mira Road,10.0,10
Goregaon,Bhayandar,12.0,15
Goregaon,Naigaon,14.0,15
Goregaon,Vasai Road,16.0,15
Goregaon,Nallasopara,18.0,15
Goregaon,Virar,20.0,15
Malad,Kandivli,2.0,5
Malad,Borivali,4.0,5
Malad,Dahisar,6.0,10
Malad,Mira Road,8.0,10
Malad,Bhayandar,10.0,10
Malad,Naigaon,12.0,15
Malad,Vasai Road,14.0,15
Malad,Nallasopara,16.0,15
Malad,Virar,18.0,15
Kandivli,Borivali,2.0,5
Kandivli,Dahisar,4.0,5
Kandivli,Mira Road,6.0,10
Kandivli,Bhayandar,8.0,10
Kandivli,Naigaon,10.0,10
Kandivli,Vasai Road,12.0,15
Kandivli,Nallasopara,14.0,15
Kandivli,Virar,16.0,15
Borivali,Dahisar,2.0,5
Borivali,Mira Road,4.0,5
Borivali,Bhayandar,6.0,10
Borivali,Naigaon,8.0,10
Borivali,Vasai Road,10.0,10
Borivali,Nallasopara,12.0,15
Borivali,Virar,14.0,15
Dahisar,Mira Road,2.0,5
Dahisar,Bhayandar,4.0,5
Dahisar,Naigaon,6.0,10
Dahisar,Vasai Road,8.0,10
Dahisar,Nallasopara,10.0,10
Dahisar,Virar,12.0,15
Mira Road,Bhayandar,2.0,5
Mira Road,Naigaon,4.0,5
Mira Road,Vasai Road,6.0,10
Mira Road,Nallasopara,8.0,10
Mira Road,Virar,10.0,10
Bhayandar,Naigaon,2.0,5
Bhayandar,Vasai Road,4.0,5
Bhayandar,Nallasopara,6.0,10
Bhayandar,Virar,8.0,10
Naigaon,Vasai Road,2.0,5
Naigaon,Nallasopara,4.0,5
Naigaon,Virar,6.0,10
Vasai Road,Nallasopara,2.0,5
Vasai Road,Virar,4.0,5
Nallasopara,Virar,2.0,5
